product_category,product_name,model_number,description,,,
LOW VOLTAGE PENDANTS,Adara,HS834-0,"Hints of inspiration from African folk art can be seen in the hypnotic texture and slender shape of this unique pendant light. A ribbed surface created by molding the glass combines with a frosted texture to gently diffuse the light created by the Adara pendant light from LBL Lighting.  Includes (1) 50 watt low-voltage GY6.35 base Xenon bi-pin lamp or (1) SORAA® replaceable 8 watt 500 lumen 80 CRI 3000K LED module and 6' of field-cuttable suspension cable. For use with 24 volt transformer, add suffix '-24' to item number. (LED lamp option is not compatible with 24 volt transformers.)",,,
LOW VOLTAGE PENDANTS,Mini-Signal,HS860-1,"Inspired by vintage automobile styling of the 1940s, the simple Mini-Signal pendant light from LBL Lighting utilizes spun metal shades with rubberized paint to create a flawlessly smooth look that also offers an unexpected metallic texture and color when viewed from below. It is available in eight finish/color combinations.  Includes (1) 50 watt low-voltage GU5.3 base Halogen MR16 lamp or 7.5 watt low-voltage GU5.3 base 95 CRI 3000K LED MR16 lamp and 6' of field-cuttable suspension cable. For use with 24 volt transformer, add suffix '-24' to item number. (LED lamp option is not compatible with 24 volt transformers).",,,
LOW VOLTAGE PENDANTS,Mini-Zuri,HS859-2,"Created by Italian artisans to replicate the look of crumpled metal. When turned off, the Mini-Zuri pendant light by LBL Lighting has an opaque metal appearance, however, when lit, it becomes a mysteriously translucent light fixture.  Includes (1) 50 watt low-voltage GY6.35 base Xenon bi-pin lamp and 6' of field-cuttable suspension cable. For use with 24 volt transformer, add suffix '-24' to item number.",,,
LOW VOLTAGE PENDANTS,Sphere Low-Voltage,HS848-3,"Echoes of large white glass globes common in 1950’s décor are present in this modern yet miniature LED light fixture interpretation. The Sphere pendant light from LBL Lighting features a unique crisscross patterned heat sink with a choice of globe including Frosted White, Aerated Smoke or Aerated Clear.  Includes (1) 9 watt 628 lumen 80 CRI LED module and 6' of field-cuttable suspension cable. 12 volt only.",,,
LOW VOLTAGE PENDANTS,Trista,HS884-4,"In true rags to riches fashion, a humble spool of string wrapped around a glass cylinder inspired this truly luxurious Trista pendant light from LBL Lighting. Illumination escapes through dozens of thin slits in the metallic finish to create a sparkling light effect, as varying line thickness and spacing makes every piece of glass slightly unique.  Includes 7.5 watt low-voltage GU5.3 base 95 CRI 3000K LED MR16 lamp and 6' of field-cuttable suspension cable. 12 volt only.",,,
LOW VOLTAGE PENDANTS,Dolly,HS699-5,"Slotted metal cylinder reveals an inner layer of brilliant rhinestones.  Custom interior colors are available, contact the LBL Quotes Department, quotes@generation-brands.com, for more information. Includes (1) 6 watt 350 lumen 3000K 80 CRI LED module and 6' of field-cuttable suspension cable. Not compatible with 24 volt transformers.",,,
LOW VOLTAGE PENDANTS,Mademoiselle No. 1,HS678-6,"A single layer of SWAROVSKI ELEMENTS crystals artfully set in an intricate web of elegant Rhodium plated chain is draped over a halogen or LED MR16 lamp.  Includes (1) 50 watt low-voltage GU5.3 base Halogen MR16 lamp or 7.5 watt low-voltage GU5.3 base 95 CRI 3000K LED MR16 lamp and 6' of field-cuttable suspension cable. For use with 24 volt transformer, add suffix '-24' to item number.",,,
LOW VOLTAGE PENDANTS,Mademoiselle No. 2,HS686-7,"Double layers of SWAROVSKI ELEMENTS crystals artfully set in an intricate web of elegant Rhodium plated chain are draped over a halogen or LED MR16 lamp.  Includes (1) 50 watt low-voltage GU5.3 base Halogen MR16 lamp or 7.5 watt low-voltage GU5.3 base 95 CRI 3000K LED MR16 lamp and 6' of field-cuttable suspension cable. For use with 24 volt transformer, add suffix '-24' to item number.",,,
LOW VOLTAGE PENDANTS,Mini-Dia,HS783-8,"Inspired by the classic eight-faceted crystals that have been hanging from traditional chandeliers for centuries, hand-blown glass is lowered into a custom mold to create these over-sized “crystals”.  Includes (1) 35 watt low-voltage GY6.35 base Xenon bi-pin lamp and 6' of field-cuttable suspension cable. For use with 24 volt transformer, add suffix '-24' to item number.",,,
LOW VOLTAGE PENDANTS,Dia,HS782-9,"Inspired by the classic eight-faceted crystals that have been hanging from traditional chandeliers for centuries, hand-blown glass is lowered into a custom mold to create these over-sized “crystals”.  Includes (1) 35 watt low-voltage GY6.35 base Xenon bi-pin lamp and 6' of field-cuttable suspension cable. For use with 24 volt transformer, add suffix '-24' to item number.",,,
LOW VOLTAGE PENDANTS,Izzy,HS691-10,"Slender, two-tone metal tube tipped with a powerful LED which shines down on a spectacular Swarovski™ crystal.  The result is a delicate burst of pure glamour. Includes (1) 3 watt low-voltage, 80 CRI 3000K LED module and 6' of field-cuttable suspension cable. Not compatible with 24 volt transformers.",,,
LOW VOLTAGE PENDANTS,Mini-Vera,HS778-11,"Hand-blown opal glass is hand-carved to create a hammered look inspired by elegant stemware.  The decorative center band is then hand-gilded for a silver metallic sheen to create a clean, contemporary aesthetic. Includes (1) 35 watt low-voltage GY6.35 base Xenon bi-pin lamp or 8 watt replaceable 500 lumen 80 CRI 3000K LED SORAA® module and 6' of field-cuttable suspension cable. For use with 24 volt transformer, add suffix '-24' to item number (LED lamp option is not compatible with 24 volt transformers).",,,
LOW VOLTAGE PENDANTS,Paige,HS795-12,"The natural beauty and dramatic movement of wind over water are captured in this hand-blown glass pendant.  Swirled textures are created by lowering the piece into a custom mold just before spraying it with cold water, shocking the molten glass to produce a unique crackle effect. An inner opal glass diffuser further accentuates the patterns and softens the light. Includes (1) 35 watt low-voltage GY6.35 base Xenon bi-pin lamp or 8 watt replaceable 500 lumen 80 CRI 3000K LED SORAA® module and 6' of field-cuttable suspension cable. For use with 24 volt transformer, add suffix '-24' to item number (LED lamp option is not compatible with 24 volt transformers).",,,
