model_number,image_url
 HS834-0,http://images.lbllighting.com/Configurator/8/products/lineart/2367.jpg
 HS860-1,http://images.lbllighting.com/Configurator/8/products/lineart/2364.jpg
 HS859-2,http://images.lbllighting.com/Configurator/8/products/lineart/2359.jpg
 HS848-3,http://images.lbllighting.com/Configurator/8/products/lineart/2350.jpg
 HS884-4,http://images.lbllighting.com/Configurator/8/products/lineart/2387.jpg
 HS699-5,http://images.lbllighting.com/Configurator/8/products/lineart/2073.jpg
 HS678-6,http://images.lbllighting.com/Configurator/8/products/lineart/1943.jpg
 HS686-7,http://images.lbllighting.com/Configurator/8/products/lineart/1944.jpg
 HS783-8,http://images.lbllighting.com/Configurator/8/products/lineart/2222.jpg
 HS782-9,http://images.lbllighting.com/Configurator/8/products/lineart/2221.jpg
 HS691-10,http://images.lbllighting.com/Configurator/8/products/lineart/2050.jpg
 HS778-11,http://images.lbllighting.com/Configurator/8/products/lineart/2217.jpg
 HS795-12,http://images.lbllighting.com/Configurator/8/products/lineart/2246.jpg
 HS796-13,http://images.lbllighting.com/Configurator/8/products/lineart/2247.jpg
 HS780-14,http://images.lbllighting.com/Configurator/8/products/lineart/2219.jpg
 HS775-15,http://images.lbllighting.com/Configurator/8/products/lineart/2215.jpg
 HS758-16,http://images.lbllighting.com/Configurator/8/products/lineart/2102.jpg
 HS759-17,http://images.lbllighting.com/Configurator/8/products/lineart/2103.jpg
 HS774-18,http://images.lbllighting.com/Configurator/8/products/lineart/2214.jpg
 HS762-19,http://images.lbllighting.com/Configurator/8/products/lineart/2105.jpg
 HS565-20,http://images.lbllighting.com/Configurator/8/products/lineart/1865.jpg
 HS461-21,http://images.lbllighting.com/Configurator/8/products/lineart/737.jpg
 HS549-22,http://images.lbllighting.com/Configurator/8/products/lineart/1855.jpg
 HS545-23,http://images.lbllighting.com/Configurator/8/products/lineart/1862.jpg
 HS547-24,http://images.lbllighting.com/Configurator/8/products/lineart/1866.jpg
 HS586-25,http://images.lbllighting.com/Configurator/8/products/lineart/1859.jpg
 HS693-26,http://images.lbllighting.com/Configurator/8/products/lineart/2107.jpg
 HS546-27,http://images.lbllighting.com/Configurator/8/products/lineart/1867.jpg
 HS583-28,http://images.lbllighting.com/Configurator/8/products/lineart/1856.jpg
 HS506-29,http://images.lbllighting.com/Configurator/8/products/lineart/1399.jpg
 HS467-30,http://images.lbllighting.com/Configurator/8/products/lineart/1215.jpg
 HS688-31,http://images.lbllighting.com/Configurator/8/products/lineart/1966.jpg
 HS689-32,http://images.lbllighting.com/Configurator/8/products/lineart/1967.jpg
 HS463-33,http://images.lbllighting.com/Configurator/8/products/lineart/785.jpg
 HS462-34,http://images.lbllighting.com/Configurator/8/products/lineart/784.jpg
 HS508-35,http://images.lbllighting.com/Configurator/8/products/lineart/1401.jpg
 HS577-36,http://images.lbllighting.com/Configurator/8/products/lineart/1860.jpg
 HS574-37,http://images.lbllighting.com/Configurator/8/products/lineart/1864.jpg
 HS539-38,http://images.lbllighting.com/Configurator/8/products/lineart/1863.jpg
 HS472-39,http://images.lbllighting.com/Configurator/8/products/lineart/783.jpg
 HS542-40,http://images.lbllighting.com/Configurator/8/products/lineart/1853.jpg
 HS593-41,http://images.lbllighting.com/Configurator/8/products/lineart/1857.jpg
 HS585-42,http://images.lbllighting.com/Configurator/8/products/lineart/1868.jpg
 HS621-43,http://images.lbllighting.com/Configurator/8/products/lineart/1946.jpg
 HS616-44,http://images.lbllighting.com/Configurator/8/products/lineart/1913.jpg
 HS604-45,http://images.lbllighting.com/Configurator/8/products/lineart/1951.jpg
 HS603-46,http://images.lbllighting.com/Configurator/8/products/lineart/1972.jpg
 HS378-47,http://images.lbllighting.com/Configurator/8/products/lineart/996.jpg
 HS509-48,http://images.lbllighting.com/Configurator/8/products/lineart/1400.jpg
